id,title,artists,releasename,releaseyear,releaseurl,cd,track,volume,spotify_id
19,Schlumpfen Cowboy Joe (Cotton Eye Joe),The Smurfs,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,1,20,10,0Jg602cHeMCnPez9baacIe
20,Conquest Of Paradise,Vangelis,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,1,10,5avVpUakfMHD6qGpaH26CF
21,Roses Of Red,The Kelly Family,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,2,10,4aJpzJD9c16LhllDQKF1Ko
22,Think Twice (Radio Edit),Céline Dion,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,3,10,6V4VtZW8C3VMknfYrbY1Vv
23,Whoops Now,Janet Jackson,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,4,10,4NXCkIbpCa3kQkJPktRLFL
24,If I Give You My Number (100% Radio Mix),PJ & Duncan,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,5,10,20G1XJaTwIm2IuwA3Pjg1d
25,Hier Kommt Die Schwester,Schwester S.,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,6,10,69YoRmAMENjbevhz6cU3kU
26,Dear Mama (Baby Mama Mix - Extra Clean Version),2Pac,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,7,10,6tDxrq4FxEL2q15y37tXT9
27,When I Kiss You (I Hear Charlie Parker Playing) (Radio Edit),Sparks,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,8,10,4iTM3xq9mGDR9atwbUO0mt
28,Quietsche-Entchen (S.O.S. Mix),"Cosmix,Ernie",Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,9,10,408oXdyUgbIscjmAx4uIAj
29,Everytime You Touch Me,Moby,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,10,10,0LJsAXtXAyaiKJm1T2nwyo
30,Don't Stop Me Now (Radio Edit),Loft,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,11,10,2KDyYj8xkAfiEavOKXk5RH
31,Take Your Chance (Single Mix),Penelope,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,12,10,6DEaND0SHv3sC11xobZLiy
32,Nights In White Satin (Radio Edit),Sandra,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,13,10,3OBZT3D5TA9TDnZPPUdVtU
33,Hypnotised,Simple Minds,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,14,10,3o5P6TF0Gop8MiuuuTtttl
34,Down There (Radio Edit),Fury In The Slaughterhouse,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,15,10,4AODGSAIKc6QTozV2wGcQK
35,Perfect Day,Duran Duran,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,16,10,4TOMI010Sd4ZAX4aZ5TS85
36,New Boy (Radio Edit),The Connells,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,17,10,01PyDJ8c4LOsxYAMEXd4gY
37,Ein Bett Im Kornfeld,Stefan Raab & Die Bekloppten,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,18,10,7DfHmCnSLftVHPvtFPFsmA
38,Beatles Medley,Take That,Bravo Hits 10,1995,https://api.discogs.com/releases/464972,2,19,10,0sWY4x5eOD4H4K9ZAGR9nh
39,Perfect,Ed Sheeran,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,1,100,0tgVpDi06FyKpA1z0VMD4v
40,Échame La Culpa,"Luis Fonsi,Demi Lovato",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,2,100,0mlAOSILGRys2IbvyOT5VJ
41,Was Du Liebe Nennst,BAUSA,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,3,100,4hKWUzhQWsOkgT6LnDEASe
42,Never Be The Same,Camila Cabello,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,4,100,4eWQlBRaTjPPUlzacqEeoQ
43,Wolves,"Selena Gomez,Marshmello",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,5,100,0tBbt8CrmxbjRP0pueQkyU
44,Man’s Not Hot,Big Shaq,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,6,100,5tkmVEqglyP80CsQI8ggMT
45,I Know You,"Craig David,Bastille",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,7,100,13plQdOoWSSXPRUSZc5FuM
46,Flashbacks,Mike Singer,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,8,100,4SeZpWSgq1c8a0MY3iVy1f
47,Roundabouts,Michael Patrick Kelly,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,9,100,6gCHeI7PgA4RzDsaXrLV6I
48,Once In A Lifetime,The Night Game,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,10,100,38Ngied9rBORlAbLYNCl4k
49,Caméléon,Maitre Gims,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,11,100,4Y6q4ffROIvxNgA86ZWyEO
50,Data Love,RIN (13),Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,12,100,6JS81UTRBEMaBgWFak8sOe
51,Wäwä,Eno (15),Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,13,100,1bG6qffAzpyiqwZz4zytTt
52,Mattress,Leland,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,14,100,14N3tALR3Mhf7UHpJRKk4L
53,Please Don´t Lie,Hugo Helmig,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,15,100,73niCPzZkDLz33Ei7ji243
54,IDGAF,Dua Lipa,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,16,100,0g5wLjESWLOkaEvIF0PNAW
55,Hold On,Nano (11),Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,17,100,5vjLSffimiIP26QG5WcN2K
56,Beautiful Trauma,P!NK,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,18,100,2DlIwu1iDTILEMXA7MUotn
57,Alles Passiert,Die Toten Hosen,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,19,100,4FMvVFSvEHWMYpUx6okJBp
58,Leiser,Lea (23),Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,20,100,1fTzkQQ4oH5TIN8HnSbjCa
59,Naked,James Arthur,Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,21,100,6t9KLioUIYQvfwREPGPxDy
60,Leave A Light On,Tom Walker (12),Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,1,22,100,6lOWoTqVnAWXchddtTH31W
61,Friends,"Justin Bieber,Bloodpop",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,1,100,2jQiSYrwJehQAcuaaQrXnS
62,Unforgettable,"Robin Schulz,Marc Scibilia",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,2,100,3B54sVLJ402zGa6Xm4YGNe
63,Him & I,"G-Eazy,Halsey",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,3,100,5k38wzpLb15YgncyWdTZE4
64,More Than Friends,"James Hype,Kelli-Leigh Henry-Davila",Bravo Hits 100,2018,https://api.discogs.com/releases/11576385,2,4,100,1Ph96WpdjNlwD6iKRE2Xa3
